#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-11-01,15,10,23,11,14,12,0.2,76,10,1005,40.875,15,8,8,116,116,176,0,4,7,météo correcte,17:30:00,07:38:00,10
2021-11-02,12,10,22,10,12,10,0.7,84,10,1003,94.375,12,7,8,176,353,176,0,3,3.7,météo défavorable,17:29:00,07:40:00,10
2021-11-03,14,7,4,7,12,12,0,79,10,1007,10.75,14,5,7,113,113,113,0,4,8.7,météo correcte,17:27:00,07:41:00,8
2021-11-04,12,6,19,6,11,10,0.3,82,10,1019,48.125,12,5,5,113,119,353,0,3,5.4,météo défavorable,17:25:00,07:43:00,7
2021-11-05,12,7,11,8,11,11,0,78,10,1029,60.625,12,5,6,119,113,122,0,3,8.7,météo défavorable,17:24:00,07:44:00,7
2021-11-06,13,6,8,6,11,11,0,85,10,1031,38.875,13,6,5,113,113,116,0,2,8.7,météo correcte,17:22:00,07:46:00,8
2021-11-07,13,9,15,10,13,11,0,86,10,1027,56.875,13,9,8,122,122,116,0,4,5.3,météo correcte,17:21:00,07:47:00,9
2021-11-08,13,8,12,9,12,10,0,66,10,1025,46.25,13,4,8,116,116,116,0,3,8.7,météo correcte,17:19:00,07:49:00,10
2021-11-09,14,6,6,6,12,13,0,79,10,1028,3.875,14,5,6,113,113,113,0,4,8.7,météo correcte,17:18:00,07:51:00,7
2021-11-10,15,6,5,6,13,13,0,78,10,1027,0.125,15,5,6,113,113,113,0,4,8.7,météo correcte,17:17:00,07:52:00,7
2021-11-11,13,6,5,6,10,12,0,73,10,1028,23.625,13,5,6,116,116,113,0,3,7,météo correcte,17:15:00,07:54:00,7
2021-11-12,15,6,9,6,12,12,0,64,10,1023,12,15,4,5,113,113,113,0,4,8.7,météo correcte,17:14:00,07:55:00,7
2021-11-13,12,11,15,11,12,12,0.4,88,9.875,1013,83.75,12,10,9,122,122,176,0,3,3.6,météo défavorable,17:13:00,07:57:00,11
2021-11-14,13,9,17,10,13,10,0,89,10,1023,69.5,13,8,9,116,116,122,0,3,5.3,météo défavorable,17:11:00,07:58:00,10
2021-11-15,12,7,13,7,11,10,0,90,10,1024,31.875,12,7,5,116,113,116,0,2,8.7,météo défavorable,17:10:00,08:00:00,8
2021-11-16,10,6,8,6,9,10,0,90,10,1024,58.25,10,6,4,113,122,122,0,3,5.2,météo défavorable,17:09:00,08:01:00,6
2021-11-17,12,9,10,10,12,11,0,90,10,1027,69.875,12,9,8,122,119,116,0,3,5.2,météo défavorable,17:08:00,08:03:00,10
2021-11-18,12,6,8,6,9,11,0,85,10,1031,63.5,12,8,6,113,122,122,0,3,3.4,météo défavorable,17:07:00,08:04:00,7
2021-11-19,12,8,4,9,11,12,0,87,10,1032,79.875,12,9,10,122,119,119,0,4,3.4,météo défavorable,17:06:00,08:06:00,9
2021-11-20,16,10,5,11,14,14,0,77,10,1031,32,16,9,10,116,113,113,0,3,8.7,météo correcte,17:05:00,08:07:00,12
2021-11-21,9,6,13,8,9,8,0.4,90,9.375,1019,61.875,9,7,6,122,176,176,0,3,3.4,météo défavorable,17:04:00,08:09:00,7
2021-11-22,9,4,23,4,9,7,0.1,78,10,1027,15.375,9,2,0,113,113,113,0,2,8.7,météo très défavorable,17:03:00,08:10:00,5
2021-11-23,9,2,17,2,7,8,0,73,10,1030,0,9,3,-2,113,113,113,0,3,8.7,météo très défavorable,17:02:00,08:12:00,3
2021-11-24,8,3,11,3,8,6,0,82,10,1027,4.875,8,2,0,113,113,113,0,3,8.7,météo très défavorable,17:01:00,08:13:00,4
2021-11-25,7,2,9,2,6,7,0,87,10,1013,64.875,7,3,0,122,122,122,0,3,6.9,météo très défavorable,17:00:00,08:15:00,3
2021-11-26,7,4,18,4,6,6,0,89,10,1012,61.875,7,2,2,122,116,116,0,3,6.9,météo très défavorable,16:59:00,08:16:00,4
2021-11-27,5,4,17,4,5,5,2.3,87,7.875,992,94.375,5,3,0,362,317,119,0,1,3.2,météo très défavorable,16:59:00,08:17:00,5
2021-11-28,6,2,12,2,4,5,0.4,84,9,1007,56.625,6,3,0,119,116,353,0,1,5,météo très défavorable,16:58:00,08:19:00,3
2021-11-29,6,2,12,2,5,5,0,80,10,1019,31.5,6,0,-2,116,113,116,0,1,8.4,météo très défavorable,16:57:00,08:20:00,2
2021-11-30,8,2,22,2,6,8,0,79,10,1021,82,8,6,-2,122,122,122,0,3,3.1,météo très défavorable,16:57:00,08:21:00,2
